COUNTRY,Country,Series,Pay period,TIME,Time,Unit Code,Value
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,8.18645454971285
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,8.19095953991819
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,8.22087909105656
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,8.46013982422573
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,8.75742507022188
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,9.29539936712408
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,9.93178106497756
SVN,Slovenia,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,9.57282548167947
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,2.96627312401569
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,3.06149054749886
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,3.144193029913
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,3.31707983797528
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,3.41573116748644
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,3.49689464416062
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,3.63902849327214
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,3.77275683842949
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,3.77055573201567
CHL,Chile,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,3.70305724104977
CZE,Czechia,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,4.30957595241136
CZE,Czechia,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,4.42600809607317
